training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
1;1;3;3;30;46540;-30;-30
1;2;2;0;21;28736;-21;-21
1;3;3;0;21;33024;-21;-21
1;4;1;0;21;40620;-21;-21
1;5;11;8;33;54972;-33;-33
1;6;4;12;27;55652;-27;-27
1;7;5;3;26;38772;-26;-26
1;8;1;0;21;29188;-21;-21
1;9;3;1;26;60428;-26;-26
1;10;1;0;21;26436;-21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
2;1;1;1;27;47008;-27;-27
2;2;2;0;21;28736;-21;-21
2;3;3;0;21;33024;-21;-21
2;4;1;0;21;40620;-21;-21
2;5;4;1;22;38512;-22;-22
2;6;3;1;23;61384;-23;-23
2;7;3;1;24;37860;-24;-24
2;8;1;0;21;29188;-21;-21
2;9;3;1;26;60428;-26;-26
2;10;1;0;21;26436;-21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
3;1;21;1;27;15996;-27;-27
3;2;3;0;21;28736;-21;-21
3;3;3;0;21;33024;-21;-21
3;4;2;0;21;40620;-21;-21
3;5;24;1;22;3832;-22;-22
3;6;24;1;23;4392;-23;-23
3;7;24;1;24;10428;-24;-24
3;8;1;0;21;29188;-21;-21
3;9;24;1;26;20716;-26;-26
3;10;2;0;21;26436;-21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
4;1;1;0;21;33124;-21;-21
4;2;2;0;21;28736;-21;-21
4;3;3;0;21;33024;-21;-21
4;4;1;0;21;40620;-21;-21
4;5;1;0;21;33084;-21;-21
4;6;1;0;21;43828;-21;-21
4;7;2;0;21;34192;-21;-21
4;8;14;3;24;33024;-24;-24
4;9;1;0;21;48660;-21;-21
4;10;1;0;21;26436;-21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
5;1;2;1;22;31172;-22;-22
5;2;2;1;22;47320;-22;-22
5;3;16;11;29;41324;-29;-29
5;4;20;13;30;47452;-30;-30
5;5;14;11;31;51188;-31;-31
5;6;12;10;24;62236;-24;-24
5;7;17;13;33;43344;-33;-33
5;8;15;11;32;54068;-32;-32
5;9;14;11;31;61568;-31;-31
5;10;10;9;27;47160;-27;-27
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
6;1;49;13;31;53848;-31;-31
6;2;42;14;34;61416;-34;-34
6;3;49;12;38;61288;-38;-38
6;4;45;9;34;61892;-34;-34
6;5;37;12;31;49064;-31;-31
6;6;43;7;32;62112;-32;-32
6;7;57;20;35;48572;-35;-35
6;8;49;15;36;43428;-36;-36
6;9;38;13;30;61784;-30;-30
6;10;52;14;39;60612;-39;-39
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
7;1;23;15;29;37756;-29;-29
7;2;18;7;25;38544;-25;-25
7;3;17;6;23;35220;-23;-23
7;4;19;8;27;44852;-27;-27
7;5;22;8;27;36296;-27;-27
7;6;21;8;25;53576;-25;-25
7;7;21;8;27;41256;-27;-27
7;8;18;5;25;34220;-25;-25
7;9;22;28;28;58464;-28;-28
7;10;23;14;29;36824;-29;-29
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
8;1;45;62;31;57468;-31;-31
8;2;36;50;29;58096;-29;-29
8;3;42;57;37;55832;-37;-37
8;4;40;53;34;56932;-34;-34
8;5;57;64;40;48960;-40;-40
8;6;31;43;21;59808;-21;-21
8;7;44;54;35;54984;-35;-35
8;8;51;62;41;55860;-41;-41
8;9;50;68;34;56108;-34;-34
8;10;54;74;34;55792;-34;-34
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
9;1;46;64;31;49108;-31;-31
9;2;66;74;34;52996;-34;-34
9;3;59;68;32;56184;-32;-32
9;4;51;58;31;56900;-31;-31
9;5;65;64;39;48580;-39;-39
9;6;31;39;19;59912;-19;-19
9;7;54;61;34;56224;-34;-34
9;8;51;57;34;44540;-34;-34
9;9;47;70;30;56496;-30;-30
9;10;69;75;40;54076;-40;-40
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
10;1;54;56;31;57300;-31;-31
10;2;54;53;27;57480;-27;-27
10;3;52;69;35;55956;-35;-35
10;4;61;68;32;56092;-32;-32
10;5;43;66;31;41488;-31;-31
10;6;31;43;22;59712;-22;-22
10;7;41;67;31;51956;-31;-31
10;8;47;73;33;38792;-33;-33
10;9;51;59;27;57704;-27;-27
10;10;61;75;33;49180;-33;-33
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
11;1;99;88;36;53632;-36;-36
11;2;84;81;33;48948;-33;-33
11;3;76;88;33;54632;-33;-33
11;4;59;63;28;57072;-28;-28
11;5;62;70;28;43436;-28;-28
11;6;62;62;27;56796;-27;-27
11;7;79;81;31;55116;-31;-31
11;8;68;73;27;48528;-27;-27
11;9;56;65;26;52148;-26;-26
11;10;81;71;35;53456;-35;-35
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
12;1;50;91;34;53516;-34;-34
12;2;36;77;24;56148;-24;-24
12;3;68;94;37;53140;-37;-37
12;4;35;63;27;50004;-27;-27
12;5;37;80;26;40636;-26;-26
12;6;37;64;21;57344;-21;-21
12;7;42;79;29;54948;-29;-29
12;8;58;104;33;52568;-33;-33
12;9;36;57;24;57804;-24;-24
12;10;44;85;31;54796;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
13;1;67;96;33;53780;-33;-33
13;2;57;98;36;52084;-36;-36
13;3;59;83;30;54776;-30;-30
13;4;60;95;28;54360;-28;-28
13;5;71;81;32;44992;-32;-32
13;6;49;69;23;56916;-23;-23
13;7;58;106;29;46260;-29;-29
13;8;75;101;36;38144;-36;-36
13;9;52;76;28;55612;-28;-28
13;10;85;103;38;51536;-38;-38
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
14;1;47;65;32;46600;-32;-32
14;2;51;62;31;56464;-31;-31
14;3;47;63;32;56696;-32;-32
14;4;48;76;33;56264;-33;-33
14;5;50;88;39;52820;-39;-39
14;6;40;52;24;58172;-24;-24
14;7;55;73;31;49552;-31;-31
14;8;52;83;32;49444;-32;-32
14;9;51;85;31;55836;-31;-31
14;10;47;60;31;40848;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
15;1;38;65;26;41648;-26;-26
15;2;57;99;30;52908;-30;-30
15;3;52;83;32;54364;-32;-32
15;4;62;82;32;54288;-32;-32
15;5;48;76;27;40940;-27;-27
15;6;35;61;21;57524;-21;-21
15;7;40;70;27;44396;-27;-27
15;8;51;93;35;52980;-35;-35
15;9;44;95;30;50976;-30;-30
15;10;61;125;36;50300;-36;-36
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
16;1;63;93;27;42924;-27;-27
16;2;64;98;27;54000;-27;-27
16;3;74;111;31;52160;-31;-31
16;4;59;96;25;54164;-25;-25
16;5;65;95;28;44908;-28;-28
16;6;50;83;20;55960;-20;-20
16;7;62;108;29;52608;-29;-29
16;8;91;137;38;48976;-38;-38
16;9;66;112;26;53220;-26;-26
16;10;79;122;31;51572;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
17;1;107;147;38;40868;-38;-38
17;2;75;89;27;54316;-27;-27
17;3;76;102;28;53120;-28;-28
17;4;83;241;29;47092;-29;-29
17;5;16;1926;5;5300;-5;-5
17;6;83;100;27;51776;-27;-27
17;7;93;109;31;52104;-31;-31
17;8;82;107;31;45976;-31;-31
17;9;71;105;26;48896;-26;-26
17;10;81;96;29;39792;-29;-29
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
18;1;25;115;28;39484;-28;-28
18;2;29;126;30;50648;-30;-30
18;3;41;132;28;51132;-28;-28
18;4;30;115;27;52140;-27;-27
18;5;49;109;25;35852;-25;-25
18;6;34;76;19;56216;-19;-19
18;7;28;98;25;45268;-25;-25
18;8;35;113;26;30036;-26;-26
18;9;42;122;27;51596;-27;-27
18;10;19;91;24;39692;-24;-24
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
19;1;60;133;30;40068;-30;-30
19;2;73;126;30;51308;-30;-30
19;3;63;114;31;49376;-31;-31
19;4;68;122;28;52068;-28;-28
19;5;73;130;33;50544;-33;-33
19;6;64;101;23;54548;-23;-23
19;7;48;102;24;36612;-24;-24
19;8;89;153;37;39496;-37;-37
19;9;49;124;25;51812;-25;-25
19;10;68;133;31;49480;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
20;1;53;156;36;47940;-36;-36
20;2;59;132;30;50456;-30;-30
20;3;43;116;30;51908;-30;-30
20;4;52;104;25;53472;-25;-25
20;5;51;124;33;50484;-33;-33
20;6;50;108;25;53284;-25;-25
20;7;48;121;28;45304;-28;-28
20;8;47;114;26;32572;-26;-26
20;9;44;97;24;54000;-24;-24
20;10;64;153;36;48128;-36;-36
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
21;1;62;163;29;49412;-29;-29
21;2;71;134;29;51608;-29;-29
21;3;71;128;26;52620;-26;-26
21;4;59;149;28;50876;-28;-28
21;5;84;203;34;45196;-34;-34
21;6;48;148;24;51368;-24;-24
21;7;75;150;31;49980;-31;-31
21;8;61;154;29;49708;-29;-29
21;9;77;143;29;50712;-29;-29
21;10;89;187;38;43800;-38;-38
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;1;90;144;30;49396;-30;-30
22;2;101;135;29;50352;-29;-29
22;3;85;135;27;50924;-27;-27
22;4;75;122;28;51432;-28;-28
22;5;109;169;38;45160;-38;-38
22;6;71;131;26;51568;-26;-26
22;7;96;117;29;39740;-29;-29
22;8;104;138;30;43852;-30;-30
22;9;87;156;31;48732;-31;-31
22;10;96;170;33;43132;-33;-33
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;46;124;25;52100;-25;-25
23;2;37;145;28;50512;-28;-28
23;3;26;128;29;51136;-29;-29
23;4;29;132;27;51408;-27;-27
23;5;54;185;36;44200;-36;-36
23;6;39;135;25;51512;-25;-25
23;7;38;139;29;50580;-29;-29
23;8;34;160;32;38756;-32;-32
23;9;34;117;23;52792;-23;-23
23;10;33;150;30;49240;-30;-30
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
24;1;77;159;31;48208;-31;-31
24;2;75;174;32;47704;-32;-32
24;3;69;148;28;49784;-28;-28
