training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
1;1;18;6;31;36812;0,5;-16
1;2;2;0;21;28736;10,5;-21
1;3;3;0;21;33024;10,5;-21
1;4;1;0;21;40620;10,5;-21
1;5;38;7;26;6920;-18,5;5,5
1;6;24;1;23;4392;-20;8,5
1;7;8;2;22;33872;9,5;-20,5
1;8;1;0;21;29188;10,5;-21
1;9;28;5;34;40324;-14,5;-2,5
1;10;1;0;21;26436;10,5;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
2;1;1;0;21;33124;10,5;-21
2;2;2;0;21;28736;10,5;-21
2;3;6;2;23;35220;8,5;-20
2;4;1;0;21;40620;10,5;-21
2;5;1;0;21;33084;10,5;-21
2;6;1;0;21;43828;10,5;-21
2;7;3;0;21;34192;10,5;-21
2;8;1;0;21;29188;10,5;-21
2;9;2;0;21;48660;10,5;-21
2;10;1;0;21;26436;10,5;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
3;1;1;0;21;33124;10,5;-21
3;2;2;0;21;28736;10,5;-21
3;3;3;0;21;33024;10,5;-21
3;4;1;0;21;40620;10,5;-21
3;5;1;0;21;33084;10,5;-21
3;6;1;0;21;43828;10,5;-21
3;7;3;0;21;34192;10,5;-21
3;8;1;0;21;29188;10,5;-21
3;9;2;0;21;48660;10,5;-21
3;10;1;0;21;26436;10,5;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
4;1;2;3;21;27664;-21;10,5
4;2;2;3;21;30056;-21;10,5
4;3;2;3;21;31084;-21;10,5
4;4;3;6;22;44576;-20,5;9,5
4;5;3;6;21;30036;-21;10,5
4;6;2;1;21;39960;-21;10,5
4;7;2;1;21;33880;-21;10,5
4;8;2;8;21;26104;-21;10,5
4;9;2;3;21;44628;-21;10,5
4;10;2;3;21;35684;-21;10,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
5;1;1;0;21;33124;10,5;-21
5;2;2;0;21;28736;10,5;-21
5;3;3;0;21;33024;10,5;-21
5;4;1;0;21;40620;10,5;-21
5;5;4;3;22;33928;9,5;-20,5
5;6;1;0;21;43828;10,5;-21
5;7;3;0;21;34192;10,5;-21
5;8;5;2;24;28720;7,5;-19,5
5;9;2;0;21;48660;10,5;-21
5;10;1;3;21;26260;10,5;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
6;1;25;2;21;1300;10,5;-21
6;2;49;4;41;2496;-9,5;-11
6;3;40;4;33;2068;-1,5;-15
6;4;21;0;21;1296;10,5;-21
6;5;24;2;21;1296;10,5;-21
6;6;32;5;25;1544;6,5;-19
6;7;26;2;23;1416;8,5;-20
6;8;42;7;39;2396;-12;-7,5
6;9;42;8;37;2324;-5,5;-13
6;10;26;2;23;1416;8,5;-20
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
7;1;12;7;22;1616;-20,5;9,5
7;2;18;24;39;2424;-12;-7,5
7;3;11;7;27;1664;-18;4,5
7;4;22;19;31;4024;-16;0,5
7;5;23;15;31;2860;-16;0,5
7;6;17;20;28;4664;-17,5;3,5
7;7;11;7;31;3044;-16;0,5
7;8;8;8;31;1944;-16;0,5
7;9;24;16;38;2796;-12,5;-6,5
7;10;9;10;31;1944;-16;0,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
8;1;9;4;24;27700;-19,5;7,5
8;2;8;3;24;32788;-19,5;7,5
8;3;6;5;24;30764;-19,5;7,5
8;4;7;3;24;38248;-19,5;7,5
8;5;5;5;24;34472;-19,5;7,5
8;6;14;3;23;14720;-20;8,5
8;7;23;20;29;33316;-17;2,5
8;8;19;19;34;32148;-14,5;-2,5
8;9;8;5;24;45492;-19,5;7,5
8;10;13;13;25;31140;-19;6,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
9;1;37;29;40;25784;-11,5;-8,5
9;2;23;36;35;25836;-14;-3,5
9;3;22;25;30;32396;1,5;-16,5
9;4;12;14;29;41800;2,5;-17
9;5;31;40;35;29448;-3,5;-14
9;6;25;32;34;49764;-2,5;-14,5
9;7;24;35;35;32208;-3,5;-14
9;8;10;7;25;28528;6,5;-19
9;9;31;44;35;39808;-3,5;-14
9;10;21;33;31;22588;0,5;-16
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
10;1;59;57;39;4716;-7,5;-12
10;2;56;43;34;3120;-2,5;-14,5
10;3;52;48;33;3652;-1,5;-15
10;4;66;56;34;2108;-2,5;-14,5
10;5;49;43;30;3372;1,5;-16,5
10;6;50;40;33;2636;-1,5;-15
10;7;39;38;32;1972;-0,5;-15,5
10;8;60;66;40;3996;-11,5;-8,5
10;9;70;56;41;3888;-11;-9,5
10;10;35;24;26;1664;5,5;-18,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
11;1;49;41;34;8684;-2,5;-14,5
11;2;55;85;41;5316;-11;-9,5
11;3;43;42;31;2984;0,5;-16
11;4;47;47;39;4132;-12;-7,5
11;5;49;59;41;7284;-9,5;-11
11;6;53;61;36;3624;-4,5;-13,5
11;7;48;41;31;7520;0,5;-16
11;8;57;61;39;4824;-12;-7,5
11;9;45;59;34;9904;-2,5;-14,5
11;10;49;46;34;3260;-2,5;-14,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
12;1;31;46;25;11704;6,5;-19
12;2;35;62;31;9916;0,5;-16
12;3;32;62;29;28072;2,5;-17
12;4;26;71;26;16892;5,5;-18,5
12;5;47;92;37;6676;-5,5;-13
12;6;31;65;28;12708;3,5;-17,5
12;7;36;82;34;19280;-2,5;-14,5
12;8;23;67;28;12688;3,5;-17,5
12;9;33;75;34;20724;-2,5;-14,5
12;10;38;86;33;15684;-1,5;-15
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
13;1;62;54;35;23596;-14;-3,5
13;2;94;62;39;35276;-7,5;-12
13;3;81;66;36;21720;-13,5;-4,5
13;4;67;46;35;24368;-3,5;-14
13;5;52;33;30;17280;1,5;-16,5
13;6;70;43;32;22992;-15,5;-0,5
13;7;69;46;36;22120;-13,5;-4,5
13;8;85;52;34;16476;-14,5;-2,5
13;9;81;66;39;29244;-12;-7,5
13;10;83;73;41;22284;-9,5;-11
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
14;1;72;55;37;2388;-13;-5,5
14;2;87;69;37;2680;-13;-5,5
14;3;70;61;35;6708;-14;-3,5
14;4;73;61;32;2900;-15,5;-0,5
14;5;67;48;33;2400;-15;-1,5
14;6;81;65;38;4540;-12,5;-6,5
14;7;69;46;32;2072;-15,5;-0,5
14;8;64;54;33;2508;-15;-1,5
14;9;68;68;33;2208;-15;-1,5
14;10;64;46;31;2244;0,5;-16
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
15;1;92;93;37;31952;-13;-5,5
15;2;84;83;34;45260;-14,5;-2,5
15;3;78;73;34;32424;-14,5;-2,5
15;4;72;76;32;21728;-0,5;-15,5
15;5;86;73;40;30524;-8,5;-11,5
15;6;97;96;23;53932;5,5;-25
15;7;102;101;40;31488;-8,5;-11,5
15;8;63;54;31;12940;0,5;-16
15;9;83;89;34;41284;-14,5;-2,5
15;10;81;81;32;23616;-15,5;-0,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
16;1;125;99;40;2480;-11,5;-8,5
16;2;117;86;34;2204;-2,5;-14,5
16;3;122;87;39;4704;-7,5;-12
16;4;118;84;40;2528;-8,5;-11,5
16;5;112;77;31;2120;0,5;-16
16;6;123;79;40;2472;-8,5;-11,5
16;7;105;84;36;2680;-4,5;-13,5
16;8;97;69;34;3032;-14,5;-2,5
16;9;111;85;41;3160;-9,5;-11
16;10;110;82;38;2364;-12,5;-6,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
17;1;103;75;30;14376;-16,5;1,5
17;2;122;88;35;18564;-14;-3,5
17;3;134;126;38;22136;-6,5;-12,5
17;4;117;100;32;26176;-0,5;-15,5
17;5;116;92;32;8852;-0,5;-15,5
17;6;119;116;41;28624;-9,5;-11
17;7;130;113;41;23780;-9,5;-11
17;8;123;104;40;15004;-8,5;-11,5
17;9;145;102;40;42432;-8,5;-11,5
17;10;101;81;34;11060;-14,5;-2,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
18;1;136;130;41;39712;-11;-9,5
18;2;128;118;39;43996;-12;-7,5
18;3;117;104;36;29672;-13,5;-4,5
18;4;121;107;35;32712;-3,5;-14
18;5;122;127;40;34324;-8,5;-11,5
18;6;100;77;18;55620;3;-17,5
18;7;119;107;36;30824;-4,5;-13,5
18;8;110;121;40;35060;-8,5;-11,5
18;9;102;93;31;38720;0,5;-16
18;10;116;127;38;28624;-12,5;-6,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
19;1;131;109;35;14804;-3,5;-14
19;2;143;121;41;18300;-9,5;-11
19;3;85;79;27;10296;4,5;-18
19;4;128;119;38;16936;-12,5;-6,5
19;5;105;101;35;17228;-14;-3,5
19;6;116;97;31;10176;0,5;-16
19;7;102;89;31;17764;-16;0,5
19;8;111;99;36;15764;-4,5;-13,5
19;9;99;91;34;16436;-2,5;-14,5
19;10;144;128;39;19712;-12;-7,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
20;1;99;117;34;39184;-2,5;-14,5
20;2;119;134;41;48160;-9,5;-11
20;3;131;137;39;30824;-7,5;-12
20;4;120;129;33;33080;-15;-1,5
20;5;121;134;39;35236;-12;-7,5
20;6;103;108;30;30264;-16,5;1,5
20;7;116;127;40;41476;-11,5;-8,5
20;8;128;137;39;38072;-7,5;-12
20;9;156;144;39;48852;-12;-7,5
20;10;110;113;30;26980;-16,5;1,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
21;1;105;88;35;41812;-3,5;-14
21;2;151;125;41;43668;-11;-9,5
21;3;103;90;31;27384;0,5;-16
21;4;96;96;34;37644;-14,5;-2,5
21;5;90;82;34;40740;-2,5;-14,5
21;6;111;115;33;35828;-1,5;-15
21;7;143;132;41;38700;-9,5;-11
21;8;131;124;38;34368;-6,5;-12,5
21;9;104;97;31;40064;0,5;-16
21;10;117;118;38;37908;-6,5;-12,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
22;1;123;161;39;7488;-7,5;-12
22;2;126;118;37;10080;-5,5;-13
22;3;145;155;37;6872;-5,5;-13
22;4;142;165;40;8172;-8,5;-11,5
22;5;138;148;41;7192;-9,5;-11
22;6;139;147;40;10852;-11,5;-8,5
22;7;121;123;33;5880;-1,5;-15
22;8;108;119;38;11420;-12,5;-6,5
22;9;96;117;31;11464;0,5;-16
22;10;102;108;28;3676;3,5;-17,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
23;1;101;116;36;22972;-4,5;-13,5
23;2;120;145;35;37296;-3,5;-14
23;3;114;144;38;41164;-12,5;-6,5
23;4;99;149;31;26424;0,5;-16
23;5;79;101;28;19112;3,5;-17,5
23;6;116;146;37;41600;-13;-5,5
23;7;132;161;40;24196;-8,5;-11,5
23;8;100;146;35;27080;-3,5;-14
23;9;111;155;38;36792;-6,5;-12,5
23;10;101;145;38;23448;-6,5;-12,5
