Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-12.190476190476,566,21,0.0016725579500198,0.029398417342454,0
2,-13.184210526316,544,19,0.0090621307790279,0.027209096094593,2521.3481161594
3,-4.625,746,24,0.0068334065973759,0.026827841966413,5990.4787950516
4,-8.5862068965517,817,29,0.026928184151649,0.028336934078485,9408.9113001823
5,8.6041666666667,554,24,0.029909803807735,0.031383067324758,12723.580034971
6,-12.421052631579,563,19,0.046930429577827,0.025520376451313,16028.401235104
7,-0.078947368421053,552,19,0.072756165266037,0.032294995471835,19352.323368073
8,9.6125,1759,80,0.092696217417717,0.034000042662024,22690.247012377
9,-10.340909090909,563,22,0.059791999518871,0.0315357653182,26035.510334253
10,-13.886363636364,727,22,0.041338154196739,0.050249467393383,29387.56384325
11,1.5555555555556,525,18,0.015745346724987,0.047766451098025,32737.631895304
12,-0.63157894736842,619,19,-0.0079051206707954,0.040352991356369,36082.453429222
13,-6.436170212766,1535,47,0.05316678750515,0.042652126014233,39442.614874363
14,-11.119047619048,1401,42,0.038818866789341,0.048164960654452,42395.264083385
15,-13.583333333333,1384,42,0.10071529769897,0.048555156112649,45346.400170326
16,3.4901960784314,1428,51,0.021332919180393,0.052922020385042,48300.30147934
17,-13.119047619048,670,21,0.048792710542679,0.05994572978653,51265.125099182
18,-8.7916666666667,825,24,0.15720679599047,0.049980003822595,54222.657976151
19,-10.657894736842,705,19,0.16264330422878,0.045774164577946,57176.750576973
20,-1.3809523809524,718,21,0.23168902504444,0.079540585922077,60134.317682028
21,-0.6551724137931,936,29,0.26441657495499,0.048808562807739,63097.577541113
22,-8.8409090909091,835,22,0.28615098077059,0.048952121356502,66048.6204772
23,-8.7,765,20,0.3989036950469,0.048634952548891,69002.973978281
24,-4.125,580,16,0.4231478330493,0.046354526635259,71961.710373402
25,-5.5,612,17,0.44248150074482,0.053494612276554,74946.282803059
26,-5.452380952381,759,21,0.45483417850733,0.045858541212976,77999.638302326
27,-7.4411764705882,627,17,0.41578766536713,0.041342475254089,81190.814685345
28,-7.2,595,15,0.42314593607187,0.039326364312321,84337.967757225
29,-12.2,860,25,0.47111334341764,0.040940447449684,87465.261223078
30,-4.9285714285714,528,14,0.47050801891088,0.042695259518921,92498.191892147
31,-12.133333333333,524,15,0.45293545377254,0.04539662534371,95936.109339952
32,-12.875,427,12,0.45350726288557,0.038790578894317,98887.751207113
33,-11.142857142857,759,21,0.44122585648298,0.038887200295925,101841.51401019
34,-7,550,14,0.44989166086912,0.037162220109254,104789.37532616
35,-12.1,560,15,0.44096420383453,0.037667083889246,107743.42333221
36,-11.964285714286,545,14,0.41148587912321,0.040263948976994,110687.87245607
37,-9.0384615384615,453,13,0.37986992645264,0.040563675947487,113641.68067718
38,-9.8,568,15,0.38601289665699,0.036921709775925,116585.00527716
39,-7.4285714285714,521,14,0.38462983584404,0.041262718304992,119538.83113694
40,-7.6538461538462,491,13,0.35478970843554,0.036659536957741,122487.80203819
41,-8.75,401,10,0.36146842372417,0.0384386491552,125440.84892488
