Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-1.1904761904762,566,21,-0.016031626001,0.019111451271921,0
2,-0.78947368421053,544,19,-0.015928619652987,0.021086706319824,2521.3481161594
3,-10.5,746,24,0.017985911607742,0.023174186084419,5990.4787950516
4,-5.3793103448276,817,29,0.035138628304005,0.021087123163044,9408.9113001823
5,-19.895833333333,554,24,0.016244427502155,0.020806871149689,12723.580034971
6,-2.2368421052632,563,19,0.030516146123409,0.018756742022932,16028.401235104
7,-14.131578947368,552,19,0.061523339450359,0.031348906546831,19352.323368073
8,-20.55625,1759,80,0.10061441165209,0.026641976721585,22690.247012377
9,-2.1590909090909,563,22,0.072689354002476,0.043322645559907,26035.510334253
10,-2.4318181818182,727,22,0.044146400034428,0.046073728732765,29387.56384325
11,-15.861111111111,525,18,0.040192230582237,0.051530308254063,32737.631895304
12,-15.394736842105,619,19,0.0775425760746,0.049443882986903,36082.453429222
13,-9.6914893617021,1535,47,0.13757249355316,0.054976292358711,39442.614874363
14,-5.4047619047619,1401,42,0.14144300734997,0.051685801447136,42395.264083385
15,-2.5119047619048,1384,42,0.17247566401958,0.05379497281462,45346.400170326
16,-17.480392156863,1428,51,0.17486859929562,0.052109866876155,48300.30147934
17,-2.2619047619048,670,21,0.11819297283888,0.058114196747541,51265.125099182
18,-8.2291666666667,825,24,0.17078602439165,0.05748248129338,54222.657976151
19,-7.5789473684211,705,19,0.20490509063005,0.063521314557642,57176.750576973
20,-15.02380952381,718,21,0.20841271966696,0.064866852200124,60134.317682028
21,-14.931034482759,936,29,0.1713255674243,0.064945568051189,63097.577541113
22,-9.7272727272727,835,22,0.22036751252413,0.058795872772112,66048.6204772
23,-9.825,765,20,0.26435204058886,0.053478279015981,69002.973978281
24,-13.6875,580,16,0.28194195884466,0.055717939574271,71961.710373402
25,-11.852941176471,612,17,0.31042910403013,0.051862246179953,74946.282803059
26,-12.380952380952,759,21,0.30943595552444,0.047173657760024,77999.638302326
27,-10.441176470588,627,17,0.323223297894,0.046693474255502,81190.814685345
28,-11.4,595,15,0.35061695456505,0.041337524190545,84337.967757225
29,-4.82,860,25,0.32666733783484,0.041585235372186,87465.261223078
30,-13.071428571429,528,14,0.27311532890797,0.043553937409073,92498.191892147
31,-5.3333333333333,524,15,0.24466985583305,0.046891882263124,95936.109339952
32,-4.125,427,12,0.27309661978483,0.044171565037221,98887.751207113
33,-6.4285714285714,759,21,0.33880872291327,0.041125190071762,101841.51401019
34,-11.607142857143,550,14,0.29666004246473,0.04266371575743,104789.37532616
35,-6.1,560,15,0.32505999314785,0.039901426881552,107743.42333221
36,-6.6071428571429,545,14,0.34931463354826,0.036667717844248,110687.87245607
37,-8,453,13,0.34431127136946,0.039972880072892,113641.68067718
38,-9,568,15,0.3049511371851,0.0383997557275,116585.00527716
39,-10.642857142857,521,14,0.30735584205389,0.037219845436513,119538.83113694
40,-9.9615384615385,491,13,0.31245256966352,0.039549522027373,122487.80203819
41,-9.5,401,10,0.28530238294601,0.038102595917881,125440.84892488
42,-8.55,383,10,0.33918499720097,0.038491429306567,128385.05406904
43,-14.136363636364,413,11,0.34722890794277,0.036860883470625,131337.15963507
44,-10.392857142857,533,14,0.30450721997023,0.038401826992631,134284.86390018
45,-9.4230769230769,489,13,0.31083624172211,0.036519952371716,137272.45820832
46,-11.461538461538,478,13,0.31132104611397,0.036799871981144,140232.80584526
47,-11.818181818182,426,11,0.3102690179944,0.036717105448246,143187.39262938
48,-6.8461538461538,478,13,0.31750721180439,0.033276669070125,146151.68410921
49,-10.65625,588,16,0.34079497611523,0.035877283748239,149129.0859623
50,-12.75,503,14,0.35767333728075,0.032263810649514,152100.95436621
51,-6.1363636363636,410,11,0.35128286981583,0.035170908555388,155060.54105639
52,-7.0909090909091,397,11,0.34812305194139,0.033418237604201,158014.06233835
53,-9.6666666666667,355,9,0.34887997090816,0.035392617613077,160989.72913432
54,-5.6363636363636,437,11,0.32212809282541,0.035544243440032,163942.92208934
55,-7.3888888888889,332,9,0.31232571786642,0.034990294538438,166903.69907832
56,-8.3888888888889,348,9,0.33573294907808,0.036595604598522,169867.21692038
57,-9.6666666666667,429,12,0.32209365475178,0.031012426264584,172831.57644558
58,-7.2272727272727,415,11,0.32653800737858,0.034533048078418,175790.21458626
59,-1.9090909090909,375,11,0.31488067770004,0.031103349879384,178745.57849836
60,-12,415,10,0.29465030092001,0.034411353155971,181704.80793929
61,-9.5,523,13,0.28568968135118,0.030104446336627,184672.56316423
62,-7.1153846153846,515,13,0.27341676348448,0.032042900033295,187634.86896515
63,-7.7916666666667,464,12,0.30227653044462,0.03176537196897,190609.77085805
64,-8.3333333333333,477,12,0.31022936862707,0.032570629991591,193575.23226714
65,-9.125,444,12,0.29924517524242,0.033795852646232,196543.12847924
66,-6.0454545454545,430,11,0.3207828720808,0.032654751021415,199508.03181028
67,-6.4230769230769,467,13,0.33412792432308,0.030902617977932,202485.6055882
68,-7.3,396,10,0.3365140491128,0.027126253835857,205457.95847321
69,-10.208333333333,462,12,0.31692304229736,0.029001407504082,208423.81562114
70,-13.772727272727,382,11,0.31260763651133,0.031518132895231,211385.97344613
71,-8.3,378,10,0.31329001963139,0.028670164838433,214351.19829679
72,-5.0416666666667,429,12,0.31667448115349,0.030446218073368,217308.98916483
73,-10.875,331,8,0.31584479349852,0.0295074458085,221972.7158649
74,-7.8,368,10,0.3359946603775,0.027101310186088,224964.42784786
75,-7.3888888888889,332,9,0.32408956503868,0.028624357804656,227937.27384114
76,-6.6818181818182,419,11,0.31864206528664,0.032640161991119,230895.05806398
77,-11.777777777778,324,9,0.31573203909397,0.034313679173589,233852.17733288
78,-5.2272727272727,423,11,0.30915669256449,0.033906562924385,236795.76119375
79,-9.0555555555556,339,9,0.30403732931614,0.033609865434468,239746.05166459
80,-4.7,356,10,0.32141356164217,0.032473127380013,242697.99571753
81,-3.2307692307692,452,13,0.32835628992319,0.030475623458624,245649.24792051
82,-5.2727272727273,398,11,0.32665121507645,0.031192590117455,249845.94104743
83,-5.0384615384615,471,13,0.33629900109768,0.029393029239029,252805.92880058
84,-5.5,335,9,0.32858689790964,0.03369222028926,255753.03083158
85,-3.7083333333333,449,12,0.31140047758818,0.030493652947247,258703.89991164
86,-6.2222222222222,339,9,0.32676294052601,0.033686189174652,261655.20484948
87,-8.0416666666667,474,12,0.32105655437708,0.031828700378537,264607.36318159
88,-6.5,351,9,0.30024907886982,0.035195446297526,267564.47844744
89,-5.6666666666667,420,12,0.31623108011484,0.032271535798907,270516.86856771
90,-7.3333333333333,335,9,0.31568478637934,0.03311902026087,273472.08324647
91,-6.8,385,10,0.30999838203192,0.036625040695071,276433.87832451
92,-11.5,374,10,0.33208245170116,0.032671007275581,279379.32505131
93,-4.15,359,10,0.31672998613119,0.033254537403584,282328.62156129
94,-8.5,421,11,0.34280806851387,0.033647121354938,285282.38619661
95,-4.2777777777778,338,9,0.35397489124537,0.034459251075983,288230.86623335
96,-5.5,401,11,0.36022583991289,0.032835136532784,291176.53364658
97,-4.5833333333333,433,12,0.34793751347065,0.033339282497764,294131.79124165
98,-6.6666666666667,365,9,0.34626139050722,0.03423603951931,297084.02317357
99,-6.35,356,10,0.33870465636253,0.034306661583483,300040.07620072
