training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
1;1;1;0;21;33124;21;-21
1;2;2;0;21;28736;21;-21
1;3;4;1;24;62568;16;-16
1;4;1;0;21;40620;21;-21
1;5;1;0;21;33084;21;-21
1;6;1;0;21;43828;21;-21
1;7;3;0;21;34192;21;-21
1;8;1;0;21;29188;21;-21
1;9;2;0;21;48660;21;-21
1;10;1;0;21;26436;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
2;1;5;1;26;41224;-16;16
2;2;4;1;26;54916;-16;16
2;3;5;0;21;32072;21;-21
2;4;3;1;24;49364;-18;18
2;5;7;1;24;44156;-18;18
2;6;5;1;24;39728;-18;18
2;7;14;1;32;34836;-10;10
2;8;10;0;21;20708;21;-21
2;9;9;1;32;59968;-10;10
2;10;13;0;21;14984;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
3;1;21;0;21;1296;21;-21
3;2;21;0;21;1296;21;-21
3;3;21;0;21;1296;21;-21
3;4;21;0;21;1296;21;-21
3;5;21;0;21;1296;21;-21
3;6;21;0;21;1296;21;-21
3;7;21;0;21;1296;21;-21
3;8;21;0;21;1296;21;-21
3;9;21;0;21;1296;21;-21
3;10;21;0;21;1296;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
4;1;21;0;21;1296;21;-21
4;2;21;0;21;1296;21;-21
4;3;21;0;21;1296;21;-21
4;4;21;0;21;1296;21;-21
4;5;21;0;21;1296;21;-21
4;6;21;0;21;1296;21;-21
4;7;21;0;21;1296;21;-21
4;8;21;0;21;1296;21;-21
4;9;21;0;21;1296;21;-21
4;10;21;0;21;1296;21;-21
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
5;1;22;1;22;1400;-20;20
5;2;22;1;22;1400;-20;20
5;3;28;5;26;1648;-16;16
5;4;22;1;22;1400;-20;20
5;5;22;1;22;1400;-20;20
5;6;22;1;22;1400;-20;20
5;7;22;1;22;1400;-20;20
5;8;22;1;22;1400;-20;20
5;9;22;1;22;1400;-20;20
5;10;22;1;22;1400;-20;20
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
6;1;56;39;41;2536;1;-1
6;2;44;25;33;2040;-9;9
6;3;54;38;36;2852;-6;6
6;4;65;40;41;2536;-1;1
6;5;52;30;39;2416;3;-3
6;6;52;33;32;1964;-10;10
6;7;41;36;33;2024;-9;9
6;8;57;27;40;2468;-2;2
6;9;54;26;35;2164;7;-7
6;10;63;38;40;2476;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
7;1;70;48;40;3336;-2;2
7;2;73;52;37;2320;-5;5
7;3;62;38;32;2164;-10;10
7;4;64;43;36;3640;-6;6
7;5;63;39;31;3328;-11;11
