Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,11.208333333333,556,24,0.050503430865705,0.036029191575944,0
2,11,559,23,0.10040674568713,0.032895823404193,2135.5221221447
3,16.083333333333,557,24,0.15797496265173,0.034480460107327,5029.1712892056
4,14.227272727273,577,22,0.17269922623038,0.037096842437983,7939.4438331127
5,-7.1818181818182,664,22,0.20423566102982,0.034018482774496,10888.946942091
6,6.2777777777778,560,18,0.22073895674944,0.038540068149567,13839.573613167
7,20.941176470588,1790,85,0.24758336937428,0.091598138973117,16819.50820303
8,6.7058823529412,585,17,0.28910424672067,0.04608659189567,19813.147337198
9,16.607843137255,1272,51,0.42086031150818,0.049627583667636,22828.355405092
10,3.6944444444444,1252,36,0.42365067137778,0.056728501752019,25845.128412962
11,-10.269841269841,1649,63,0.46140191178024,0.071785383895971,28871.486847162
12,12.74,1411,50,0.55835283578932,0.06510502281459,31890.421056271
13,-1.5172413793103,1063,29,0.81407032997906,0.080667742572725,34916.376191378
14,-0.33333333333333,1084,30,0.91116053000093,0.089643569372594,37934.832221508
15,-3.4615384615385,989,26,0.96205597442389,0.077743142545223,40962.404668331
16,-7.1923076923077,911,26,0.98949052712321,0.0726935611628,43981.867534399
17,4.2692307692308,934,26,0.99320474690199,0.077417561687529,47010.316098452
18,-1.2272727272727,784,22,1.0002543385029,0.082710394805297,50029.233572483
19,0.22222222222222,686,18,1.0576448403299,0.075883553920314,53055.093255281
20,-5.5217391304348,797,23,1.0702901102304,0.069530277460814,56075.183760166
21,-1.0952380952381,781,21,1.0341708922684,0.07015686500445,59102.37141037
22,-3.4761904761905,776,21,1.0265699507594,0.061330521609634,62121.680340528
23,0.84210526315789,724,19,1.0752855808437,0.067520461577922,65150.662588358
24,-7.5714285714286,709,21,1.0013147121668,0.062478470683098,68171.015327454
25,-7.6428571428571,506,14,0.97896611863375,0.057704627388157,72302.544346571
26,-2.4736842105263,707,19,0.94678487664461,0.053050884976983,75405.645603657
27,-0.8125,615,16,0.9488873129189,0.050074609041214,78506.255861521
28,-0.86666666666667,574,15,0.91270947906375,0.051564093060791,81593.969285488
29,-3.9285714285714,532,14,0.92200694900751,0.062217447727919,84676.222808599
30,-3.6470588235294,619,17,0.91075762403011,0.054780983939767,87749.944875479
31,-2.5625,608,16,0.90054002961516,0.060894822619855,90831.662821531
32,-5.3333333333333,544,15,0.88659711289406,0.051905041322112,93906.39327836
33,-5.125,586,16,0.8855888337791,0.049778702624142,96990.586566448
34,-7.0555555555556,626,18,0.88145624685287,0.054195387944579,100066.42441368
35,-6.8823529411765,604,17,0.84104416704178,0.053835048153996,103149.80456853
36,-4.4117647058824,594,17,0.81149627301097,0.043792197391391,106224.14816451
37,2.5,455,12,0.83779474925995,0.05257526960969,109306.53612661
38,1.4,566,15,0.83954833120108,0.049193871349096,112380.53722763
39,-4.6153846153846,489,13,0.80086115089059,0.051927596211433,115462.0335927
40,-1.5833333333333,481,12,0.78604797253013,0.044007560465485,118536.93497872
41,-1.5833333333333,455,12,0.75262274751067,0.046996921807528,121619.70176792
42,-5.6875,582,16,0.73744764915109,0.045658875336871,124693.69421005
43,-6.9375,573,16,0.72250643825531,0.045518535383046,127775.55086207
44,-0.23076923076923,526,13,0.72428852188587,0.054911283567548,130850.67077899
45,-9.0588235294118,572,17,0.70780410197377,0.044383473783731,133934.54332614
46,-0.92857142857143,529,14,0.69913539031148,0.044490482419729,137010.18221402
47,-6.3571428571429,495,14,0.67224881148338,0.045771792784333,140092.16212726
48,-5.9285714285714,529,14,0.66501562508941,0.051087409667671,143172.42020917
49,-4.8666666666667,549,15,0.64660765987635,0.048323063049465,146269.25787115
50,-5.7333333333333,547,15,0.65497836974263,0.049747524008155,149356.72982931
51,-3.6666666666667,436,12,0.63869567915797,0.053393878124654,152452.89559555
52,-5.0666666666667,549,15,0.63554620409012,0.045870007053018,155542.28956437
53,-2.7857142857143,537,14,0.63227131700516,0.044244793266058,158642.44324756
54,-6.0625,553,16,0.6121030882597,0.049119744166732,161736.54051948
55,-3.2307692307692,461,13,0.62800382331014,0.044741961807013,164832.72653055
56,-6.6153846153846,483,13,0.61283252745867,0.045127497851849,167930.67995334
57,-4.1538461538462,480,13,0.60063213670254,0.043550984553993,171027.3983674
58,-8.2857142857143,505,14,0.61725938439369,0.040863585993648,174114.12970233
59,-0.75,453,12,0.63111226314306,0.047125253032893,177212.31985044
60,-5.6,521,15,0.63620764189959,0.044117419805378,180300.88241053
61,-9.125,535,16,0.62399914777279,0.044741189621389,183397.16906261
