Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-26.458333333333,654,24,-0.095357276380062,0.043428983919322,0
2,-24.260869565217,571,23,-0.25713111811876,0.049565929591656,2219.7107670307
3,-30.823529411765,535,17,-0.37960375964642,0.061796604514122,5234.8550970554
4,-29.375,719,24,-0.45105549693108,0.053154966473579,8274.6327157021
5,-27.578947368421,542,19,-0.51505306136608,0.072533971011639,11343.717128754
6,-27.289473684211,1038,38,-0.61315587735176,0.061384726524353,14424.585474968
7,-28.514285714286,1008,35,-0.8955296381712,0.055836423873901,17527.729490757
8,-22.910714285714,1294,56,-0.98565722322464,0.049536979198456,20646.920996666
9,-26.333333333333,573,21,-1.02711254704,0.050674617409706,23793.418364763
10,-21.958333333333,537,24,-1.0271174045801,0.049659738302231,26948.615488768
11,-28.705882352941,508,17,-1.0852300107479,0.045676375865936,30113.221090794
12,-31.333333333333,98,3,-1.0055357445478,0.045826857686043,33269.140145779
13,-30.9375,505,16,-0.96134313106537,0.044203288912773,36434.461924553
14,-28.705882352941,507,17,-0.91738075852394,0.046511339187622,39919.898360729
15,-28.705882352941,507,17,-0.87516816967726,0.045471202611923,43082.808995724
16,-36.818181818182,419,11,-0.85296364432573,0.050174029350281,46241.313314676
17,-37,394,10,-0.81926957434416,0.042408460795879,49401.823321819
18,-36.454545454545,417,11,-0.80404985666275,0.052845206677914,52556.488364697
19,-36.181818181818,403,11,-0.72174312716722,0.045161524236202,55721.547684669
20,-34.727272727273,391,11,-0.75188615107536,0.045518432587385,58879.465076685
21,-36.666666666667,366,9,-0.71129180133343,0.045481154322624,62042.817330837
22,-30.636363636364,359,11,-0.69675636130571,0.042603764116764,65203.508159876
23,-34,365,10,-0.66037705516815,0.045244661659002,68371.994807005
24,-37.888888888889,351,9,-0.6214785618186,0.041710187494755,71532.411481619
25,-34.555555555556,334,9,-0.57756735938787,0.038945589452982,74696.672069788
26,-35.666666666667,341,9,-0.54762472438812,0.041154150933027,77855.706784964
27,-33.777777777778,331,9,-0.52157988876104,0.040725954800844,81024.021785021
28,-37.125,308,8,-0.50267528045177,0.039348959892988,84182.163150072
29,-32.818181818182,388,11,-0.5208072988987,0.04023371258378,87344.461227179
30,-34,317,9,-0.50427635723352,0.039969101399183,90501.760588169
