Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,-26.458333333333,654,24,-0.10316917291284,0.03171840660274,0
2,-24.260869565217,571,23,-0.21664407390356,0.020301910638809,2219.7107670307
3,-30.823529411765,535,17,-0.31796842944622,0.031760104954243,5234.8550970554
4,-29.375,719,24,-0.39784982442856,0.03718723988533,8274.6327157021
5,-27.578947368421,542,19,-0.49098414742947,0.046165034890175,11343.717128754
6,-27.289473684211,1038,38,-0.54109015369415,0.054801562190056,14424.585474968
7,-28.514285714286,1008,35,-0.68634745073318,0.046342434048653,17527.729490757
8,-22.910714285714,1294,56,-0.78734533989429,0.052283799111843,20646.920996666
9,-26.333333333333,573,21,-0.96680954873562,0.050795489311218,23793.418364763
10,-21.958333333333,537,24,-0.94446024823189,0.047748475790024,26948.615488768
11,-28.705882352941,508,17,-0.90576515161991,0.046088018536568,30113.221090794
12,-31.333333333333,98,3,-0.88200869899988,0.049653822243214,33269.140145779
13,-30.9375,505,16,-0.8679031342864,0.052557094037533,36434.461924553
14,-28.705882352941,507,17,-0.87953285455704,0.05192302185297,39919.898360729
15,-28.705882352941,507,17,-0.79656422615051,0.055768653512001,43082.808995724
16,-36.818181818182,419,11,-0.7973798545599,0.053919546604156,46241.313314676
17,-37,394,10,-0.79324904960394,0.056587139368057,49401.823321819
18,-36.454545454545,417,11,-0.75869192743301,0.056097362339497,52556.488364697
19,-36.181818181818,403,11,-0.72147205990553,0.056252910256386,55721.547684669
20,-34.727272727273,391,11,-0.69017216366529,0.050779387712479,58879.465076685
21,-36.666666666667,366,9,-0.70132182663679,0.048130309581757,62042.817330837
22,-30.636363636364,359,11,-0.68402341276407,0.047746060490608,65203.508159876
23,-34,365,10,-0.62059300380945,0.047794467508793,68371.994807005
24,-37.888888888889,351,9,-0.56811383879185,0.044462095856667,71532.411481619
25,-34.555555555556,334,9,-0.54428851336241,0.049049448788166,74696.672069788
26,-35.666666666667,341,9,-0.53194153410196,0.042404607594013,77855.706784964
27,-33.777777777778,331,9,-0.52397324371338,0.044501958101988,81024.021785021
28,-37.125,308,8,-0.49280105501413,0.043603889077902,84182.163150072
29,-32.818181818182,388,11,-0.45164683359861,0.048712482556701,87344.461227179
30,-34,317,9,-0.45899818623066,0.046882577434182,90501.760588169
31,-35.111111111111,334,9,-0.42163554221392,0.041218542262912,93669.918260336
32,-33.7,345,10,-0.41124828916788,0.042786059759557,96827.402169228
33,-37.875,320,8,-0.36733940595388,0.042581390786916,99991.178019285
34,-34.75,300,8,-0.36165858471394,0.041615742020309,103149.88645959
35,-35.142857142857,273,7,-0.36283807462454,0.04286250728555,106317.52060747
36,-35,316,9,-0.35213853293657,0.04135294483602,109477.61490846
37,-31.444444444444,304,9,-0.37873019325733,0.039976343035698,112644.04946756
38,-35,325,9,-0.37086350005865,0.045977050364017,115803.35801244
39,-34,308,9,-0.387158010602,0.04341797137633,118968.0033195
40,-36.625,309,8,-0.38804112797976,0.041255482595414,122125.33657956
41,-38.142857142857,292,7,-0.37829089355469,0.042000484826975,125288.71097755
42,-34.25,295,8,-0.41269392293692,0.043908545061946,128449.8854835
43,-36.428571428571,284,7,-0.35951180899143,0.040556112715974,131617.50346541
44,-36.875,297,8,-0.32541014826298,0.040843158771982,134780.73201251
45,-34.875,289,8,-0.34633871275187,0.040638292525196,137949.28987861
46,-33.75,277,8,-0.32167219752073,0.040835269892123,141109.40660763
47,-35.25,289,8,-0.33032851690054,0.040877664363012,144275.81889558
48,-35.25,307,8,-0.33778543055058,0.040645833931863,147435.31064677
49,-39.571428571429,282,7,-0.35659436476231,0.042142257492058,150603.13879275
50,-36,273,7,-0.34156268209219,0.038646750929765,153765.27083468
51,-33.714285714286,267,7,-0.33958718246222,0.04115854826197,156934.99299765
52,-36.428571428571,279,7,-0.33137782621384,0.040307806527708,160095.28643036
53,-34.875,289,8,-0.30994284754992,0.041334426323883,163261.62074041
54,-35.75,288,8,-0.29656387126446,0.040181493939599,166420.72678161
55,-36.142857142857,276,7,-0.29876182216406,0.041037688679993,169588.44667172
56,-36.714285714286,286,7,-0.30332996743917,0.040273162252735,172748.50242591
57,-37.285714285714,285,7,-0.31741343575716,0.03937012092676,175910.684515
58,-35.428571428571,270,7,-0.32956989979744,0.042279763463885,179070.61611986
59,-36.285714285714,279,7,-0.33301015365124,0.04055048728548,182233.66440177
60,-34.25,298,8,-0.3283772597909,0.039634348405059,185392.0522368
61,-38,279,7,-0.32743104177713,0.043790440815501,188557.70815563
62,-36.142857142857,286,7,-0.32915987682343,0.04203778380272,191718.52969551
63,-33.875,295,8,-0.36024566584826,0.042172495619394,194886.45836949
64,-31,261,8,-0.35764328289032,0.040637518398464,198048.08661747
65,-37.857142857143,280,7,-0.34844648963213,0.040825937362388,201217.75610328
66,-37.714285714286,284,7,-0.33217490136623,0.040230352470651,204377.43602824
67,-36.714285714286,273,7,-0.32567139828205,0.041850845268928,207544.57766247
68,-36.428571428571,287,7,-0.29867742705345,0.03995036158897,210706.8551352
69,-36,273,7,-0.27895277392864,0.041134778410196,213871.46873212
70,-35.5,244,6,-0.28795940876007,0.041708505763207,217029.25653219
71,-36.428571428571,266,7,-0.29409499913454,0.037932520796545,220194.61400127
72,-35,275,7,-0.30484864252806,0.036504096915596,223354.55645609
73,-32.5,275,8,-0.30799613463879,0.043229171217419,226520.75250101
74,-36.285714285714,265,7,-0.29752028590441,0.043337372859009,229680.09711981
75,-32.125,291,8,-0.30138940262794,0.044016310835257,232846.38811898
76,-33.571428571429,266,7,-0.29435864454508,0.043229652024806,236005.74047184
77,-35.666666666667,239,6,-0.31954347169399,0.040958518084604,239172.54759908
78,-39.333333333333,269,6,-0.30283958315849,0.042423107903916,242333.03757191
79,-32.375,276,8,-0.29783964937925,0.039569395420607,245498.53613424
80,-36.428571428571,270,7,-0.27939842480421,0.041614939747378,248660.04212308
81,-35.571428571429,267,7,-0.27845881319046,0.041564103236422,251829.45792484
82,-39,49,1,-0.29774576640129,0.041946764576249,254992.96653295
83,-36.8,201,5,-0.29520063459873,0.041044882636517,258160.73915601
84,0,32,0,-0.30711828100681,0.03780022122385,261648.22523189
85,-31,71,1,-0.28975769090652,0.041091928943992,264815.68217468
86,-36.142857142857,266,7,-0.27943712234497,0.038912671593949,268298.59088683
87,-36,245,6,-0.25322439110279,0.039827098444104,271804.28529191
88,-30.875,253,8,-0.28580475902557,0.040129517577589,274966.89393377
89,0,12,0,-0.30222401273251,0.040915508701699,278135.46529984
90,0,30,0,-0.31114657723904,0.040820374908857,281300.25560284
91,-35,257,7,-0.30451617670059,0.039868107420392,284785.61747599
92,-37.857142857143,279,7,-0.32563604104519,0.038739177445881,288264.99663019
93,0,8,0,-0.34277233123779,0.041662729106494,291439.21841502
94,0,11,0,-0.34442797040939,0.038347307886463,294786.05089426
95,0,37,0,-0.32848795676231,0.040192691942677,298514.9797523
96,0,14,0,-0.31607774305344,0.038031559703173,302185.86876249
97,-33.5,91,2,-0.32555533874035,0.040140081637539,305871.62223148
98,0,7,0,-0.30362955224514,0.039050936597399,309507.54011035
